0.991,0.000,0.001,0.000,0.000,0.001,0.003,0.001,0.001,0.000
0.001,0.990,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000
0.005,0.003,0.974,0.003,0.002,0.000,0.003,0.007,0.003,0.000
0.001,0.000,0.004,0.977,0.000,0.007,0.000,0.007,0.004,0.001
0.000,0.000,0.001,0.000,0.978,0.000,0.004,0.000,0.002,0.014
0.002,0.000,0.001,0.007,0.000,0.983,0.003,0.002,0.002,0.001
0.009,0.003,0.000,0.000,0.003,0.004,0.981,0.000,0.001,0.000
0.001,0.002,0.015,0.003,0.000,0.001,0.000,0.968,0.002,0.008
0.005,0.001,0.004,0.003,0.005,0.003,0.003,0.005,0.965,0.008
0.004,0.004,0.000,0.003,0.010,0.008,0.000,0.009,0.002,0.960
